text,text_implied,target,stereotype
['why do liberals ignore the black elephant in the room ? the ability of black people to own firearms and gun violence in inner cities #nra'],['Blacks are violent and dangerous'],['Blacks'],[]
['why do liberals ignore the black elephant in the room ? the ability of black people to own firearms and gun violence in inner cities #nra'],['Liberals are blind to facts.'],['Liberals'],[]
"[""i wonder if every white person investigated today including potus is because he is white . in today's world being white is crime unto itself""]",['White people should be investigated.'],['white people'],[]
"[""i wonder if every white person investigated today including potus is because he is white . in today's world being white is crime unto itself""]",['Minorities oppress whites'],['Minorities'],[]
"['"" why do muslims have a  """" jew hate gene """" """" ? """"""']",['Muslims hate Jews'],['Muslims'],[]
"['"" why do muslims have a  """" jew hate gene """" """" ? """"""']",['Muslim people hate Jewish people.'],['Muslim people'],[]
"['"" rt white student union  """" offensive """" """"  but anti-white student union is welcome at toronto | more : """"""']",['White people are oppressed.'],['white people'],[]
"['"" rt white student union  """" offensive """" """"  but anti-white student union is welcome at toronto | more : """"""']",['Minorities get special treatment.'],['Minorities'],[]
['the white race we must talk for its beginning about 4 millions and 900000 years ago as the first race . so the red and then the black'],['Minorities are third class races.'],['Minorities'],[]
['the white race we must talk for its beginning about 4 millions and 900000 years ago as the first race . so the red and then the black'],['White people were the original race.'],['white people'],[]
['hushed up german police report shows massive increase in migrants sexually assaulting children in pools #hangmerkel'],['Migrants are rapists.'],['migrants'],[]
['hushed up german police report shows massive increase in migrants sexually assaulting children in pools #hangmerkel'],['Immigrants commit juvenile rapes'],['Immigrants'],[]
['no repentance for f-ing j * * * tweet ! finally ended gops endless paeans to israel . coulter gets results ! ! !'],['Israelis get special treatment from GOP.'],['Israelis'],[]
['no repentance for f-ing j * * * tweet ! finally ended gops endless paeans to israel . coulter gets results ! ! !'],['Jews are inferior.'],['Jews'],[]
['weev dared to tweet about the survival of god forbid white children . he immediately gets called a white supremacist .'],"[""White people can't say what they are thinking.""]",['white people'],[]
['weev dared to tweet about the survival of god forbid white children . he immediately gets called a white supremacist .'],['Minorities blame whites unfairly.'],['Minorities'],[]
['racist old white guys are the only thing standing between you and extinction . #learntoloveus'],['Old white men are racist.'],['old white men'],[]
['racist old white guys are the only thing standing between you and extinction . #learntoloveus'],['Minorities are wiping out whites'],['Minorities'],[]
['i really only care about preserving white countries .'],['White people should survive.'],['white people'],[]
['i really only care about preserving white countries .'],['Minorities are subpar races'],['Minorities'],[]
"[""the people hate the gop . don't worry  charlottesville was just the beginning . we're growing extremely fast .""]",['Minorities are inferior to whites'],['Minorities'],[]
['white presidents only .'],['Only white people should be president.'],['white people'],[]
['white presidents only .'],['non-white people are inferior'],['non-white people'],[]
['if you want to get better join the aryan race'],['non-white people are inferior'],['non-white people'],[]
['if you want to get better join the aryan race'],['Minorities are subpar human beings'],['Minorities'],[]
"[""you're a white man  frank . you're automatically a fascist to these people . perhap""]",['Minorities are prejudiced'],['Minorities'],[]
"[""you're a white man  frank . you're automatically a fascist to these people . perhap""]",['White people are fascists.'],['white people'],[]
['justine damond  this immigrant running around an alley at night  barely dressed  charging our cops  banging their car . claims she heard a noise in the alley . really ? so she went out at night to see ? #bluelivesmatter hooker arguing w / her john . noor kept us safe . #philandocastile'],['Immigrants are criminals'],['Immigrants'],[]
['justine damond  this immigrant running around an alley at night  barely dressed  charging our cops  banging their car . claims she heard a noise in the alley . really ? so she went out at night to see ? #bluelivesmatter hooker arguing w / her john . noor kept us safe . #philandocastile'],['Immigrants are violent law breakers'],['Immigrants'],[]
['but thats deceptive bcuz not all pigmentated people fail . is it african ethnic groups ? is it a tribal mentality ?'],['Black people are unsophisticated'],['Black people'],[]
['but thats deceptive bcuz not all pigmentated people fail . is it african ethnic groups ? is it a tribal mentality ?'],['Minorities are incompetent'],['Minorities'],[]
"['"" an author of many anti-white books : who organizes the  """" white privilege conference """" """" ? a #jew  of course . ; """"""']",['Jews are subversive'],['Jews'],[]
"['"" an author of many anti-white books : who organizes the  """" white privilege conference """" """" ? a #jew  of course . ; """"""']",['Jews are anti-whites'],['Jews'],[]
['white devil books'],['White people are evil.'],['white people'],[]
['white devil books'],['Whites are evil.'],['Whites'],[]
"[""yes  unless you're not white and you're trying to silence all [ white ] opposition .""]",['Minorities oppress whites'],['Minorities'],[]
"[""you only think you're a winner because of olive-skinned people . get a life  loser""]",['Middle-Easterners are substandard people'],['Middle-Easterners'],[]
"['"" some #liberal extremists actually believe a thing called  """" white privilege """" """" exists in america  when in #fact the opposite is true . #tlot """"""']",['Progressives are ignorant'],['Progressives'],[]
"['"" some #liberal extremists actually believe a thing called  """" white privilege """" """" exists in america  when in #fact the opposite is true . #tlot """"""']",['Liberals think that white people are privileged.'],['Liberals'],[]
"[""though all white men & women r not jews all jews  white men & women  i'm white man & jew.ur not even a man or woman !""]",['Jewish people consider themselves better than white people despite being white'],['Jewish people'],[]
['they also founded america as a white country  and would stand with th'],['Minorities are second class citizens.'],['Minorities'],[]
['they also founded america as a white country  and would stand with th'],['America is a white country.'],['white people'],[]
['the genocide in south africa where whites are being brutally massacred by blacks is race war . the blacks there are power hungry ...'],['Blacks are brutal and savage killers.'],['Blacks'],[]
['the genocide in south africa where whites are being brutally massacred by blacks is race war . the blacks there are power hungry ...'],['Blacks in South Africa kill whites.'],['blacks in South Africa'],[]
['white lives are important !'],['White people are important.'],['white people'],[]
['white lives are important !'],"[""White people's lives aren't valued""]",['White people'],[]
['hungarian politicians protesting against invasion ! hungary is the only normal country in europe + visegrad group'],['Immigrants want to take over'],['Immigrants'],[]
['the most disgusting of anti-whites do thatuse extreme racism against whites against them because it increases the reaction by 5 % or similar'],"[""Non-whites don't like white people.""]",['non-whites'],[]
['the most disgusting of anti-whites do thatuse extreme racism against whites against them because it increases the reaction by 5 % or similar'],['Minorities are racist'],['Minorities'],[]
['our cities were actually livable when they were run by those ebil racist white soopremacists'],['White people are racist.'],['white people'],[]
['our cities were actually livable when they were run by those ebil racist white soopremacists'],['Minorities are incapable of leadership'],['Minorities'],[]
['he told the world : the immortal words of adolf hitler ( video ) via'],['Minorities are inferior races'],['Minorities'],[]
['philip girladi interview  jewish americans pushing wars via'],['Jewish people are violent and trying to take over the world'],['Jewish people'],[]
['philip girladi interview  jewish americans pushing wars via'],['jews are warmongers'],['jews'],[]
"[""oh yeah while some alt-right cuck says ' staahpp  we supp""]",['Conservative males are impotent and weak'],['Conservative males'],[]
"[""milo boasts about getting railed for 18 hours by his black boyfriend . he bathes in blood . that's terrible optics in the south""]",['Black people are bad.'],['black people'],[]
"[""milo boasts about getting railed for 18 hours by his black boyfriend . he bathes in blood . that's terrible optics in the south""]",['Blacks are heathens'],['Blacks'],[]
['the california gop convention is under siege by protesters with mexican flags'],['Latinos in the US are not patriotic'],['Latinos'],[]
['bill warner  phd : moderate muslims cannot save us #foxnews #cnn #abcnews #kafir'],['Muslims are radicals'],['Muslims'],[]
['bill warner  phd : moderate muslims cannot save us #foxnews #cnn #abcnews #kafir'],['Muslims are powerless.'],['Muslims'],[]
"[""whites who're true to themselves and their people .""]",['White people understand white people.'],['white people'],[]
"[""whites who're true to themselves and their people .""]",['Minorities are inferior to whites'],['Minorities'],[]
['very happy to hear this ; gives heart to all nationalists who oppose #whitegenocide'],['Minorities are in favor of killing whites.'],['Minorities'],[]
['very happy to hear this ; gives heart to all nationalists who oppose #whitegenocide'],['Nationalists are white.'],['nationalists'],[]
['think for yourself for a change . i bet you think blm and antifa are peaceful .'],['BLM is full of hate.'],['BLM'],[]
['think for yourself for a change . i bet you think blm and antifa are peaceful .'],['Leftists are brutal and barbarous'],['Leftists'],[]
['white antifas are going to have to live by there creed . they need to enjoy multicultural america .'],['Enjoy a multicultural America.'],['White Antifa members'],[]
['white antifas are going to have to live by there creed . they need to enjoy multicultural america .'],"[""White people are two faced and don't really want more people of color in America""]",['White people'],[]
"[""you're like prewhites  not quite white .""]",['People of color are inferior because they are not white'],['People of color'],[]
['whites need to gtfo of africa while they still can'],['White people need to leave Africa.'],['white people'],[]
['whites need to gtfo of africa while they still can'],['Black people are dangerous'],['Black people'],[]
['white nationalism has no place in this country . it never will .'],['Whites are separatists'],['Whites'],[]
['white nationalism has no place in this country . it never will .'],['whites feel superior'],['white nationalists'],[]
['lincoln should of let the south go now we have a ridicuolously divided country'],['whites are racists'],['white folks'],[]
['lincoln should of let the south go now we have a ridicuolously divided country'],['Southerners promote division.'],['Southerners'],[]
['how do you explain the thousands of incidents of white on white domestic violence per year ? interracial dating ?'],"[""White people don't like other white people.""]",['white people'],[]
['how do you explain the thousands of incidents of white on white domestic violence per year ? interracial dating ?'],['Whites are violent'],['Whites'],[]
"['"" unbelievable hate-filled insanity to suggest it is somehow  """" wrong """" """" for a nation to protect its people from rape / murder / genocide """"""']",['Immigrants are savage criminals.'],['Immigrants'],[]
"['"" unbelievable hate-filled insanity to suggest it is somehow  """" wrong """" """" for a nation to protect its people from rape / murder / genocide """"""']",['illegal immigration is dangerous'],['immigrants'],[]
['propaganda photo to make white people appear humiliated . sorry  not applicable here .'],"[""White people shouldn't be sorry.""]",['white people'],[]
['propaganda photo to make white people appear humiliated . sorry  not applicable here .'],['Minorities want to disgrace whites.'],['Minorities'],[]
['white genocide'],['Minorities are looking to wipe out white culture.'],['Minorities'],[]
"['"" rt :  """" i want to do jihad ... it is written in the koran that you are allowed to kill infidels as you would kill a dog . """" """" """"""']",['Muslim people can kill others.'],['Muslims'],[]
"['"" rt :  """" i want to do jihad ... it is written in the koran that you are allowed to kill infidels as you would kill a dog . """" """" """"""']",['Muslims are violent people who hate anyone who is not a Muslim'],['Muslims'],[]
['- poland is looking to protect its people.muslims bring with them the baggage of islam . this poses a potential threat .'],['Muslims are threatening'],['Muslims'],[]
['- poland is looking to protect its people.muslims bring with them the baggage of islam . this poses a potential threat .'],['Muslims are threatening.'],['Muslims'],[]
['girl bright and early this morning the crazy racist white folks are acting up'],['White people are racist.'],['white people'],[]
['girl bright and early this morning the crazy racist white folks are acting up'],['White people are racists'],['White people'],[]
['#sodomybasedmarriage & racist israel has more public support than white people advocating for basic human rights .'],['Jews are given special privilege'],['Jews'],[]
['#sodomybasedmarriage & racist israel has more public support than white people advocating for basic human rights .'],['Israelis are racist.'],['Israelis'],[]
"[""nope  but ' racist ' is the new n word for white people .""]",['White people are racists'],['White people'],[]
"[""nope  but ' racist ' is the new n word for white people .""]",['Minorities are prejudiced towards whites.'],['Minorities'],[]
['what she really means is your white  allah will judge you  and non-believers have no morality . ;) :'],"[""Non-believers aren't moral.""]",['non-believers'],[]
['what she really means is your white  allah will judge you  and non-believers have no morality . ;) :'],['Non-Muslims are immoral'],['Non-muslims'],[]
"['""  """" white privilege conference """" """" says resisting jihad is racist  bashes robert spencer and pamela geller - - we respond """"""']",['White people are privileged.'],['white people'],[]
"['""  """" white privilege conference """" """" says resisting jihad is racist  bashes robert spencer and pamela geller - - we respond """"""']",['Progressives are ignorant.'],['Progressives'],[]
[': sen rejects o .. claim that legalizing illegal immigrants will help economy #illegalimmigration'],"[""Illegals don't contribute to society.""]",['Illegals'],[]
