id,text,text_implied,target,stereotype,lingua,dataset_name
61,i am westgerman  rightwing but ill.mother dead.who can teach me jewish / babylonian magic ?,['Jews practice witchcraft'],['Jews'],[],en,implicit_hate_v1_stg3_posts
62,black human rights campaigners managed it in the 50s and 60s.no good reason white human rights campaigners can't .,['non-white people are inferior'],['non-white people'],[],en,implicit_hate_v1_stg3_posts
63,black human rights campaigners managed it in the 50s and 60s.no good reason white human rights campaigners can't .,['Black people can do more than white people.'],['black people'],[],en,implicit_hate_v1_stg3_posts
64,this is what these people took to america  sancho,['immigrants add to America'],['immigrants'],[],en,implicit_hate_v1_stg3_posts
65,kosher conservatives think money is the measure of everything . but more important than mere $ $ is the quality of,['Jews are money grubbers'],['Jews'],[],en,implicit_hate_v1_stg3_posts
66,kosher conservatives think money is the measure of everything . but more important than mere $ $ is the quality of,['Jews are greedy.'],['Jews'],[],en,implicit_hate_v1_stg3_posts
67,""" so are all white americans going to be called  """" borderers """" """" now ? """"""",['Progressives mischaracterize whites'],['Progressives'],[],en,implicit_hate_v1_stg3_posts
68,lol . you will learn what it means to be white and proud of your race . or be jooish and face the consequences .,['White people should be proud of their race.'],['white people'],[],en,implicit_hate_v1_stg3_posts
69,lol . you will learn what it means to be white and proud of your race . or be jooish and face the consequences .,['Jews are inferior'],['Jews'],[],en,implicit_hate_v1_stg3_posts
70,as a true pro-white who refers to white people as inbred trash  you need to listen to my advice on how,['White people are trash.'],['white people'],[],en,implicit_hate_v1_stg3_posts
71,as a true pro-white who refers to white people as inbred trash  you need to listen to my advice on how,['Whites are substandard'],['Whites'],[],en,implicit_hate_v1_stg3_posts
72,the lgenpresse has never had any problem demonizing white america and celebrating criminals and terrorists and trying to silence us,['non-white people are criminals'],['non-white people'],[],en,implicit_hate_v1_stg3_posts
73,the lgenpresse has never had any problem demonizing white america and celebrating criminals and terrorists and trying to silence us,['Journalists are dishonest liars.'],['Journalists'],[],en,implicit_hate_v1_stg3_posts
74,extinction of america's white population speeds up via,['Immigrants are invading America'],['Immigrants'],[],en,implicit_hate_v1_stg3_posts
75,muslims are always wanting to kill someone ! its their duty to kill the infidel .,['Muslims are violent'],['Muslims'],[],en,implicit_hate_v1_stg3_posts
76,muslims are always wanting to kill someone ! its their duty to kill the infidel .,['Muslims are violent.'],['Muslims'],[],en,implicit_hate_v1_stg3_posts
77,is zuma talking about seizing white land or not ? are you denying it ?,['Blacks steal whites property.'],['Blacks'],[],en,implicit_hate_v1_stg3_posts
78,i'm anishinaabeg from deshkan ziibi . goodnight white pride !,['White people are superior.'],['white people'],[],en,implicit_hate_v1_stg3_posts
79,i'm anishinaabeg from deshkan ziibi . goodnight white pride !,['Minorities are substandard people'],['Minorities'],[],en,implicit_hate_v1_stg3_posts
80,""" proliferating anti-white agenda  """" """"""",['Minorities are opposed to whites'],['Minorities'],[],en,implicit_hate_v1_stg3_posts
81,. there is dangerous power in using ' scientific ' findings to undermine gay marriage,['Gays are abnormal.'],['Gays'],[],en,implicit_hate_v1_stg3_posts
82,i am now a white nationalist,['Minorities are subpar human beings'],['Minorities'],[],en,implicit_hate_v1_stg3_posts
83,estonia : 1000 white nationalists protest against non-white invasion | more : via,"[""White people don't like non-white people.""]",['white people'],[],en,implicit_hate_v1_stg3_posts
84,estonia : 1000 white nationalists protest against non-white invasion | more : via,['Immigrants want absolute control'],['Immigrants'],[],en,implicit_hate_v1_stg3_posts
85,""" rt : how #jews feel about #whitepeople -  """" the white race is the cancer of human history . """" """" - jewess susan sontag #hate #israel # r ... """"""",['jews hate white people'],['jews'],[],en,implicit_hate_v1_stg3_posts
86,""" rt : how #jews feel about #whitepeople -  """" the white race is the cancer of human history . """" """" - jewess susan sontag #hate #israel # r ... """"""",['Jews hate white people.'],['Jews'],[],en,implicit_hate_v1_stg3_posts
87,is currently leading the race for top #cuckservative on twitter,['conservative men are not masculine'],['conservative men'],[],en,implicit_hate_v1_stg3_posts
88,white people hate divesity but yet still go to non-white countries / continents . #dumblogic #hypocrites,['white people are hypocrites'],['white people'],[],en,implicit_hate_v1_stg3_posts
89,white people hate divesity but yet still go to non-white countries / continents . #dumblogic #hypocrites,"[""White people don't like diversity.""]",['White people'],[],en,implicit_hate_v1_stg3_posts
90,altrighters are already moving there . without legislation to force integration  all white / black areas are inevitable .,['Blacks are low quality.'],['Blacks'],[],en,implicit_hate_v1_stg3_posts
91,hold on  i got an even better one > 14 words my man . we got to secure the existence of our people and a future for white children > just not with those people . they're fat  low class . we're a better sort of racist than white trash > who are we ? a bunch of boomers ?,['non-white people are a threat'],['non-white people'],[],en,implicit_hate_v1_stg3_posts
92,hold on  i got an even better one > 14 words my man . we got to secure the existence of our people and a future for white children > just not with those people . they're fat  low class . we're a better sort of racist than white trash > who are we ? a bunch of boomers ?,['White people are trash.'],['white people'],[],en,implicit_hate_v1_stg3_posts
93,the kkk . how old does my little boy need to be to join ?,['Minorities are inferior.'],['Minorities'],[],en,implicit_hate_v1_stg3_posts
94,the kkk . how old does my little boy need to be to join ?,['non-white people are inferior'],['non-white people'],[],en,implicit_hate_v1_stg3_posts
95,unarmed white man murdered by police in tx . where was his white privilege ?,['Minorities accuse whites falsely'],['Minorities'],[],en,implicit_hate_v1_stg3_posts
96,unarmed white man murdered by police in tx . where was his white privilege ?,['White people get killed.'],['white people'],[],en,implicit_hate_v1_stg3_posts
97,you might be right about that  idk . i still think the movement would benefit from more love for our blood and less hate for non-whites .,['Minorities are inferior to the white race'],['Minorities'],[],en,implicit_hate_v1_stg3_posts
98,horrible . 9 year old white boy commits suicide after being tormented for months by racist arabs via,['Arabs are evil and hate white people'],['Arabs'],[],en,implicit_hate_v1_stg3_posts
99,horrible . 9 year old white boy commits suicide after being tormented for months by racist arabs via,['Arabs torments White people'],['Arabs'],[],en,implicit_hate_v1_stg3_posts
100,: black slavery only matters when it can be blamed on white southerners . or when it can make white sj,['Black people are whiners'],['Black people'],[],en,implicit_hate_v1_stg3_posts
101,: black slavery only matters when it can be blamed on white southerners . or when it can make white sj,['Blacks are dishonest and devious.'],['Blacks'],[],en,implicit_hate_v1_stg3_posts
102,are you a white person that looks  or a white person that helps ? a national-socialist acts with kindness & compassion,['non-white people are inferior'],['non-white people'],[],en,implicit_hate_v1_stg3_posts
103,are you a white person that looks  or a white person that helps ? a national-socialist acts with kindness & compassion,['white people are good.'],['white people'],[],en,implicit_hate_v1_stg3_posts
104,1up  are you seriously calling tucker carlsonna white supremacist ? you are way losing all credibility here  my friend . what are you trying to accomplish ? 1 ) spread hate & division among races  or 2 ) make america a better place for all children to grow up in and thrive ?,['whites are racists'],['whites'],[],en,implicit_hate_v1_stg3_posts
105,please forward to all known white patriots : 26 . 05 . 2012 . white unity gig with us  german  slovak and hungarian bands,['White people need to unite.'],['white people'],[],en,implicit_hate_v1_stg3_posts
106,please forward to all known white patriots : 26 . 05 . 2012 . white unity gig with us  german  slovak and hungarian bands,['People of Color are an intrinsic threat to so-called white patriots.'],['People of Color'],[],en,implicit_hate_v1_stg3_posts
107,she's another jew promoting adl / splc . she assisted in having jihad watch,['Jews are bad.'],['Jews'],[],en,implicit_hate_v1_stg3_posts
108,she's another jew promoting adl / splc . she assisted in having jihad watch,['Jews want to wipe out the white race.'],['Jews'],[],en,implicit_hate_v1_stg3_posts
109,the genocide of white america : 1980-2010 via,['White people are dying out.'],['white people'],[],en,implicit_hate_v1_stg3_posts
110,the genocide of white america : 1980-2010 via,['Minorities are destroying the white race'],['Minorities'],[],en,implicit_hate_v1_stg3_posts
111,whites are not allowed to work for their group interests .,['non-white people are coddled'],['non-white people'],[],en,implicit_hate_v1_stg3_posts
112,whites are not allowed to work for their group interests .,['White people are restricted by other groups.'],['white people'],[],en,implicit_hate_v1_stg3_posts
113,#howtospotafeminist their favorite colour isn't white .,['Feminists hate white people.'],['feminists'],[],en,implicit_hate_v1_stg3_posts
114,#howtospotafeminist their favorite colour isn't white .,['feminists are racist'],['feminists'],[],en,implicit_hate_v1_stg3_posts
115,inb 4 its ok to be white as long as youre also fine with anti white policies that displace whites,['non-white people want to replace white people'],['non-white people'],[],en,implicit_hate_v1_stg3_posts
116,inb 4 its ok to be white as long as youre also fine with anti white policies that displace whites,['Progressive whites are racist to their own race.'],['Progressive whites'],[],en,implicit_hate_v1_stg3_posts
117,he's vocally anti-white  he's not white  he advocates miscegenation and he's so much as admitted to raping women,['Non-white people are rapists.'],['non-white'],[],en,implicit_hate_v1_stg3_posts
118,he's vocally anti-white  he's not white  he advocates miscegenation and he's so much as admitted to raping women,['non-white people dilute the gene pool'],['non-white people'],[],en,implicit_hate_v1_stg3_posts
119,#gop can explicitly be the party of white christian america or it will die . it would rather die . #tcot,['non-white people are a threat'],['non-white people'],[],en,implicit_hate_v1_stg3_posts
120,#gop can explicitly be the party of white christian america or it will die . it would rather die . #tcot,['Minorities are out to get whites.'],['Minorities'],[],en,implicit_hate_v1_stg3_posts
121,i wish i could understand what makes some white people embrace their own extinction . are they sleepwalking ?,"[""White people aren't paying attention.""]",['white people'],[],en,implicit_hate_v1_stg3_posts
122,i wish i could understand what makes some white people embrace their own extinction . are they sleepwalking ?,['Whites are self-destructive.'],['Whites'],[],en,implicit_hate_v1_stg3_posts
123,no state has the right to redefine #marriage or allow labs to manufacture offspring of same-sex couple . tell congress to enact #nmra,['Gays are abnormal'],['Gays'],[],en,implicit_hate_v1_stg3_posts
124,poor snowflake white man . :(,['White people are snowflakes.'],['white people'],[],en,implicit_hate_v1_stg3_posts
125,poor snowflake white man . :(,['White men are sensitive'],['White men'],[],en,implicit_hate_v1_stg3_posts
126,why do hate crime laws only apply to white people ?,['Minorities have double standards'],['Minorities'],[],en,implicit_hate_v1_stg3_posts
127,why do hate crime laws only apply to white people ?,['White people are unfairly discriminated against by the law'],['white people'],[],en,implicit_hate_v1_stg3_posts
128,it's us white gentiles getting screwed ! :,['White people are disadvantaged.'],['white people'],[],en,implicit_hate_v1_stg3_posts
129,it's us white gentiles getting screwed ! :,['non-white people oppressing whites'],['non-white people'],[],en,implicit_hate_v1_stg3_posts
130,just another jewish think-tank with a paradoxical name . has nothing to do with heritage at all .,['Jews are devious'],['Jews'],[],en,implicit_hate_v1_stg3_posts
131,so you believe it is wrong for a white man to defend his own race ? do you believe that it i,['non-white people are a threat'],['non-white people'],[],en,implicit_hate_v1_stg3_posts
132,so you believe it is wrong for a white man to defend his own race ? do you believe that it i,['Minorities attack whites.'],['Minorities'],[],en,implicit_hate_v1_stg3_posts
133,""" cuck is the new  """" racist """" """" or soon will be """"""",['Conservatives are racists.'],['Conservatives'],[],en,implicit_hate_v1_stg3_posts
134,racist attacks on white dutch people by mobs of muslim immigrants continue ( video ) kyttjlt,['Muslim immigrants assault whites'],['Muslim immigrants'],[],en,implicit_hate_v1_stg3_posts
135,racist attacks on white dutch people by mobs of muslim immigrants continue ( video ) kyttjlt,['Muslims are attacking white people.'],['Muslims'],[],en,implicit_hate_v1_stg3_posts
136,what's happening in south africa is awful and not one news station covers it,['media biased against South Africans'],['media'],[],en,implicit_hate_v1_stg3_posts
137,: white people need to watch their backs . there is a war upon us .,['Minorities are wiping out the white race'],['Minorities'],[],en,implicit_hate_v1_stg3_posts
138,: white people need to watch their backs . there is a war upon us .,['White people are in danger.'],['white people'],[],en,implicit_hate_v1_stg3_posts
139,white skin is dominant phenotypically  last i heard . it's only socially that if you're not full-white you're considered tainted .,['Minorities are less than whites'],['Minorities'],[],en,implicit_hate_v1_stg3_posts
140,using the enemy's anti-white hate propaganda . #wpww,['non-white people are oppressors'],['non-white people'],[],en,implicit_hate_v1_stg3_posts
141,yup . race is real & we're not concerned with your race or other races . we are concerned with white growth & population .,['People of color are inferior to white people'],['People of color'],[],en,implicit_hate_v1_stg3_posts
142,yup . race is real & we're not concerned with your race or other races . we are concerned with white growth & population .,['non-white people want to replace white people'],['non-white people'],[],en,implicit_hate_v1_stg3_posts
143,""" why ? when black pride / hispanic pride / asian pride / muslim pride / jewish pride / even  """" gay """" """" pri """"""",['gay people want special treatment.'],['gay people'],[],en,implicit_hate_v1_stg3_posts
144,the black community in america is resting on the pillars of state welfare and affirmative action produced white guilt .,['Black people are lazy'],['Black people'],[],en,implicit_hate_v1_stg3_posts
145,the black community in america is resting on the pillars of state welfare and affirmative action produced white guilt .,['Black people depend on welfare.'],['black people'],[],en,implicit_hate_v1_stg3_posts
146,the people leaving usa becuz racist trump all want canada  new zealand  never mexico  nigeria . who racist ?,['Whites are racists'],['Whites'],[],en,implicit_hate_v1_stg3_posts
147,i take pro-white perspective . thats where the battle lines are now drawn . you guys wanna re,['Minorities are second class races.'],['Minorities'],[],en,implicit_hate_v1_stg3_posts
148,why do liberals ignore the black elephant in the room ? the ability of black people to own firearms and gun violence in inner cities #nra,['Blacks are violent and dangerous'],['Blacks'],[],en,implicit_hate_v1_stg3_posts
149,why do liberals ignore the black elephant in the room ? the ability of black people to own firearms and gun violence in inner cities #nra,['Liberals are blind to facts.'],['Liberals'],[],en,implicit_hate_v1_stg3_posts
150,i wonder if every white person investigated today including potus is because he is white . in today's world being white is crime unto itself,['White people should be investigated.'],['white people'],[],en,implicit_hate_v1_stg3_posts
151,i wonder if every white person investigated today including potus is because he is white . in today's world being white is crime unto itself,['Minorities oppress whites'],['Minorities'],[],en,implicit_hate_v1_stg3_posts
152,""" why do muslims have a  """" jew hate gene """" """" ? """"""",['Muslims hate Jews'],['Muslims'],[],en,implicit_hate_v1_stg3_posts
153,""" why do muslims have a  """" jew hate gene """" """" ? """"""",['Muslim people hate Jewish people.'],['Muslim people'],[],en,implicit_hate_v1_stg3_posts
154,""" rt white student union  """" offensive """" """"  but anti-white student union is welcome at toronto | more : """"""",['White people are oppressed.'],['white people'],[],en,implicit_hate_v1_stg3_posts
155,""" rt white student union  """" offensive """" """"  but anti-white student union is welcome at toronto | more : """"""",['Minorities get special treatment.'],['Minorities'],[],en,implicit_hate_v1_stg3_posts
156,the white race we must talk for its beginning about 4 millions and 900000 years ago as the first race . so the red and then the black,['Minorities are third class races.'],['Minorities'],[],en,implicit_hate_v1_stg3_posts
157,the white race we must talk for its beginning about 4 millions and 900000 years ago as the first race . so the red and then the black,['White people were the original race.'],['white people'],[],en,implicit_hate_v1_stg3_posts
158,hushed up german police report shows massive increase in migrants sexually assaulting children in pools #hangmerkel,['Migrants are rapists.'],['migrants'],[],en,implicit_hate_v1_stg3_posts
159,hushed up german police report shows massive increase in migrants sexually assaulting children in pools #hangmerkel,['Immigrants commit juvenile rapes'],['Immigrants'],[],en,implicit_hate_v1_stg3_posts
160,no repentance for f-ing j * * * tweet ! finally ended gops endless paeans to israel . coulter gets results ! ! !,['Israelis get special treatment from GOP.'],['Israelis'],[],en,implicit_hate_v1_stg3_posts
161,no repentance for f-ing j * * * tweet ! finally ended gops endless paeans to israel . coulter gets results ! ! !,['Jews are inferior.'],['Jews'],[],en,implicit_hate_v1_stg3_posts
162,weev dared to tweet about the survival of god forbid white children . he immediately gets called a white supremacist .,"[""White people can't say what they are thinking.""]",['white people'],[],en,implicit_hate_v1_stg3_posts
163,weev dared to tweet about the survival of god forbid white children . he immediately gets called a white supremacist .,['Minorities blame whites unfairly.'],['Minorities'],[],en,implicit_hate_v1_stg3_posts
164,racist old white guys are the only thing standing between you and extinction . #learntoloveus,['Old white men are racist.'],['old white men'],[],en,implicit_hate_v1_stg3_posts
165,racist old white guys are the only thing standing between you and extinction . #learntoloveus,['Minorities are wiping out whites'],['Minorities'],[],en,implicit_hate_v1_stg3_posts
166,i really only care about preserving white countries .,['White people should survive.'],['white people'],[],en,implicit_hate_v1_stg3_posts
167,i really only care about preserving white countries .,['Minorities are subpar races'],['Minorities'],[],en,implicit_hate_v1_stg3_posts
168,the people hate the gop . don't worry  charlottesville was just the beginning . we're growing extremely fast .,['Minorities are inferior to whites'],['Minorities'],[],en,implicit_hate_v1_stg3_posts
169,white presidents only .,['Only white people should be president.'],['white people'],[],en,implicit_hate_v1_stg3_posts
170,white presidents only .,['non-white people are inferior'],['non-white people'],[],en,implicit_hate_v1_stg3_posts
171,if you want to get better join the aryan race,['non-white people are inferior'],['non-white people'],[],en,implicit_hate_v1_stg3_posts
172,if you want to get better join the aryan race,['Minorities are subpar human beings'],['Minorities'],[],en,implicit_hate_v1_stg3_posts
173,you're a white man  frank . you're automatically a fascist to these people . perhap,['Minorities are prejudiced'],['Minorities'],[],en,implicit_hate_v1_stg3_posts
174,you're a white man  frank . you're automatically a fascist to these people . perhap,['White people are fascists.'],['white people'],[],en,implicit_hate_v1_stg3_posts
175,justine damond  this immigrant running around an alley at night  barely dressed  charging our cops  banging their car . claims she heard a noise in the alley . really ? so she went out at night to see ? #bluelivesmatter hooker arguing w / her john . noor kept us safe . #philandocastile,['Immigrants are criminals'],['Immigrants'],[],en,implicit_hate_v1_stg3_posts
176,justine damond  this immigrant running around an alley at night  barely dressed  charging our cops  banging their car . claims she heard a noise in the alley . really ? so she went out at night to see ? #bluelivesmatter hooker arguing w / her john . noor kept us safe . #philandocastile,['Immigrants are violent law breakers'],['Immigrants'],[],en,implicit_hate_v1_stg3_posts
177,but thats deceptive bcuz not all pigmentated people fail . is it african ethnic groups ? is it a tribal mentality ?,['Black people are unsophisticated'],['Black people'],[],en,implicit_hate_v1_stg3_posts
178,but thats deceptive bcuz not all pigmentated people fail . is it african ethnic groups ? is it a tribal mentality ?,['Minorities are incompetent'],['Minorities'],[],en,implicit_hate_v1_stg3_posts
179,""" an author of many anti-white books : who organizes the  """" white privilege conference """" """" ? a #jew  of course . ; """"""",['Jews are subversive'],['Jews'],[],en,implicit_hate_v1_stg3_posts
180,""" an author of many anti-white books : who organizes the  """" white privilege conference """" """" ? a #jew  of course . ; """"""",['Jews are anti-whites'],['Jews'],[],en,implicit_hate_v1_stg3_posts
181,white devil books,['White people are evil.'],['white people'],[],en,implicit_hate_v1_stg3_posts
182,white devil books,['Whites are evil.'],['Whites'],[],en,implicit_hate_v1_stg3_posts
183,yes  unless you're not white and you're trying to silence all [ white ] opposition .,['Minorities oppress whites'],['Minorities'],[],en,implicit_hate_v1_stg3_posts
184,you only think you're a winner because of olive-skinned people . get a life  loser,['Middle-Easterners are substandard people'],['Middle-Easterners'],[],en,implicit_hate_v1_stg3_posts
185,""" some #liberal extremists actually believe a thing called  """" white privilege """" """" exists in america  when in #fact the opposite is true . #tlot """"""",['Progressives are ignorant'],['Progressives'],[],en,implicit_hate_v1_stg3_posts
186,""" some #liberal extremists actually believe a thing called  """" white privilege """" """" exists in america  when in #fact the opposite is true . #tlot """"""",['Liberals think that white people are privileged.'],['Liberals'],[],en,implicit_hate_v1_stg3_posts
