id,source,main_post,text,Implied,label,span 1,span 2,span 3,span 4
11,AnconaToday,"La festa in piscina finisce in stupro, notte horror per due 20enni. «Mi sono svegliata con un ragazzo sopra di me»",Sinceramente non mi fa pena alla fine della storia sempre alcol e droga (non in questo caso) questi giovani devono trovare altre strade per divertirsi.,"in caso di stupro la colpa è della vittima perché si espone a situazioni in cui è consapevole cosa potrebbe succederle, a maggior ragione se assume alcol e droga.",,,,,
12,AnconaToday,"La festa in piscina finisce in stupro, notte horror per due 20enni. «Mi sono svegliata con un ragazzo sopra di me»",La prossima volta andate dove ce piu magrebini e bevete ancora di piu . Assurde ste cose delle volte non capisco come fanno a succedere bho.,"in caso di stupro la colpa è della vittima perché si espone a situazioni in cui è consapevole cosa potrebbe succederle, soprattutto se ci sono anche persone straniere.",,,,,
13,AnconaToday,"La festa in piscina finisce in stupro, notte horror per due 20enni. «Mi sono svegliata con un ragazzo sopra di me»",Chi cerca trova. Qua c'è più irresponsabilità che altro.,,,,,,
14,AnconaToday,"La festa in piscina finisce in stupro, notte horror per due 20enni. «Mi sono svegliata con un ragazzo sopra di me»","L'unica cosa che mi sento di dire..ma perché voi giovani vi fidate così tanto velocemente di persone che non avete mai visto prima o conoscete appena, tanto da seguirli ad una festa in villa!!! Porca miseria !!!!! Ok la sagra di paese ci sta ma finisce lì!!!!",,,,,,
15,AnconaToday,"La festa in piscina finisce in stupro, notte horror per due 20enni. «Mi sono svegliata con un ragazzo sopra di me»",Nessuna pieta' scegliete questi modelli di vita questo ricevete.e.la colpa e' dei genitori perbenisti e buonisti zero educazione zero disciplina zero cultura i risultati sono questo,"in caso di stupro la colpa è della vittima, per il tipo di vita che conduce, e dei genitori, per come l'hanno educata e disciplinata.",,,,,
16,AnconaToday,"La festa in piscina finisce in stupro, notte horror per due 20enni. «Mi sono svegliata con un ragazzo sopra di me»","Sicuramente cose che non dovrebbero capitare mai, però andare chissà dove con gente che non conosci magari vestite in un certo modo poi non ci si dovrebbe lamentarsi !!!!!",,"victim blaming, conservative limiting",però andare chissà dove con gente che non conosci magari vestite in un certo modo poi non ci si dovrebbe lamentarsi !!!!!,magari vestite in un certo modo,,
17,AnconaToday,"La festa in piscina finisce in stupro, notte horror per due 20enni. «Mi sono svegliata con un ragazzo sopra di me»",State attente ragazze non sacrificate il vostro futuro è la vostra dignità per il “divertimento da sballo”,,conservative limiting,State attente ragazze non sacrificate il vostro futuro è la vostra dignità per il “divertimento da sballo”,,,
18,AnconaToday,"La festa in piscina finisce in stupro, notte horror per due 20enni. «Mi sono svegliata con un ragazzo sopra di me»","Donne purtroppo la società ne le leggi ci aiuteranno mai veramente, i pericoli sono sempre di più quando meno te lo aspetti e da chi non te lo aspetteresti mai quindi cominciamo a difenderci da sole e la prima cosa secondo me è rimanere lucide ,sempre,… ",,,,,,
19,AnconaToday,"La festa in piscina finisce in stupro, notte horror per due 20enni. «Mi sono svegliata con un ragazzo sopra di me»",Sarebbe da vedere bene com'è andata....comunque sia ci sono andate loro alla festa....e se non ci sono principi attivi di droga vuol dire che sei arrivata a bere di tua volontà......Non bisogna mai giudicare in modo affrettato,,,,,,
20,AnconaToday,"La festa in piscina finisce in stupro, notte horror per due 20enni. «Mi sono svegliata con un ragazzo sopra di me»",Sempre da condannare questi schifosi animali ... Ma ste ragazze quando si svegliano? Che si aspettavano in piena notte da un gruppo di deficienti con gli ormoni a palla?,"in caso di stupro, la colpa non è soltanto dello stupratore, ma anche della vittima perché si espone a situazioni in cui è consapevole cosa potrebbe succederle, soprattutto se ci sono ragazzi che non sono in grado di controllare i propri istinti.",,,,,
21,La Repubblica,"Arianna Muti, fresca di laurea magistrale in Language, Society and Communication all’Alma Mater, ha trovato una soluzione per fermare gli haters delle donne sui social media. La 26enne di Osimo, residente sotto le Torri, ha infatti ottenuto la miglior performance nella sezione “Automatic Misogyny Identification” dell’ultima edizione di Evalita, iniziativa dedicata allo sviluppo di sistemi NLP (Natural Language Processing, ovvero di elaborazione del linguaggio) per la lingua italiana. E lo ha fatto ideando un algoritmo in grado di identificare e rimuovere tweet con contenuti violenti e offensivi contro le donne.","Probabilmente è una di quelle a cui brucia il culo quando viene descritta, probabilmente lei ha un account only fans dove fa la facile... Insomma, si sente punta sul vivo in molti aspetti e con la scusa dell'odio contro le donne vuole impedire agli altri di giudicarla... Ma è un classico, le ""donne"" sono sempre pronte a rivendicare le loro libertà senza scrupoli, poi basta un giudizio scomodo e vanno in depressione... Poi, mi dispiace dirlo ma basta vedere la sua faccia e si capisce già tutto",,"stereotype generalization, double standard, beauty standard expectations","Probabilmente è una di quelle a cui brucia il culo quando viene descritta, probabilmente lei ha un account only fans dove fa la facile... Insomma, si sente punta sul vivo in molti aspetti e con la scusa dell'odio contro le donne vuole impedire agli altri di giudicarla... ","le ""donne"" sono sempre pronte a rivendicare le loro libertà senza scrupoli, poi basta un giudizio scomodo e vanno in depressione...","Poi, mi dispiace dirlo ma basta vedere la sua faccia e si capisce già tutto",
22,La Repubblica,"Arianna Muti, fresca di laurea magistrale in Language, Society and Communication all’Alma Mater, ha trovato una soluzione per fermare gli haters delle donne sui social media. La 26enne di Osimo, residente sotto le Torri, ha infatti ottenuto la miglior performance nella sezione “Automatic Misogyny Identification” dell’ultima edizione di Evalita, iniziativa dedicata allo sviluppo di sistemi NLP (Natural Language Processing, ovvero di elaborazione del linguaggio) per la lingua italiana. E lo ha fatto ideando un algoritmo in grado di identificare e rimuovere tweet con contenuti violenti e offensivi contro le donne.","Ti manca la frangetta, i capelli devono essere turchese e al naso ora va l’anello! ",,"conservative limiting, beauty standard expectations, mocking","Ti manca la frangetta, i capelli devono essere turchese e al naso ora va l’anello!","Ti manca la frangetta, i capelli devono essere turchese e al naso ora va l’anello!","Ti manca la frangetta, i capelli devono essere turchese e al naso ora va l’anello!",
23,La Repubblica,"Arianna Muti, fresca di laurea magistrale in Language, Society and Communication all’Alma Mater, ha trovato una soluzione per fermare gli haters delle donne sui social media. La 26enne di Osimo, residente sotto le Torri, ha infatti ottenuto la miglior performance nella sezione “Automatic Misogyny Identification” dell’ultima edizione di Evalita, iniziativa dedicata allo sviluppo di sistemi NLP (Natural Language Processing, ovvero di elaborazione del linguaggio) per la lingua italiana. E lo ha fatto ideando un algoritmo in grado di identificare e rimuovere tweet con contenuti violenti e offensivi contro le donne.","Invece di cucinare e fare la brava mogliettina, guarda questa cosa fa...",le donne dovrebbero limitarsi a stare a casa e a fare le brave mogli.,,,,,
24,La Repubblica,"Arianna Muti, fresca di laurea magistrale in Language, Society and Communication all’Alma Mater, ha trovato una soluzione per fermare gli haters delle donne sui social media. La 26enne di Osimo, residente sotto le Torri, ha infatti ottenuto la miglior performance nella sezione “Automatic Misogyny Identification” dell’ultima edizione di Evalita, iniziativa dedicata allo sviluppo di sistemi NLP (Natural Language Processing, ovvero di elaborazione del linguaggio) per la lingua italiana. E lo ha fatto ideando un algoritmo in grado di identificare e rimuovere tweet con contenuti violenti e offensivi contro le donne.","ok, ora prova a farlo verso l’odio in generale, in tutte le sue forme, non solo con la misoginia. come se poi fosse quello l’unico problema dell’umanità. state perdendo il senso della realtà, se mai l’avete avuto.",,,,,,
25,La Repubblica,"Arianna Muti, fresca di laurea magistrale in Language, Society and Communication all’Alma Mater, ha trovato una soluzione per fermare gli haters delle donne sui social media. La 26enne di Osimo, residente sotto le Torri, ha infatti ottenuto la miglior performance nella sezione “Automatic Misogyny Identification” dell’ultima edizione di Evalita, iniziativa dedicata allo sviluppo di sistemi NLP (Natural Language Processing, ovvero di elaborazione del linguaggio) per la lingua italiana. E lo ha fatto ideando un algoritmo in grado di identificare e rimuovere tweet con contenuti violenti e offensivi contro le donne.",Un giorno qualcuno più bravo di me dovrà spiegarmi perché tutte le iniziative di questo genere in Italia partano da Bologna. È un meme che diventa realtà...,,,,,,
26,La Repubblica,"Arianna Muti, fresca di laurea magistrale in Language, Society and Communication all’Alma Mater, ha trovato una soluzione per fermare gli haters delle donne sui social media. La 26enne di Osimo, residente sotto le Torri, ha infatti ottenuto la miglior performance nella sezione “Automatic Misogyny Identification” dell’ultima edizione di Evalita, iniziativa dedicata allo sviluppo di sistemi NLP (Natural Language Processing, ovvero di elaborazione del linguaggio) per la lingua italiana. E lo ha fatto ideando un algoritmo in grado di identificare e rimuovere tweet con contenuti violenti e offensivi contro le donne.","Non augurerei un'agenda così pregna d'impegni, neanche al mio peggior nemico.","i traguardi di una donna vengono banalizzati e portati al livello di semplici ""impegni"".",,,,,
27,La Repubblica,"Arianna Muti, fresca di laurea magistrale in Language, Society and Communication all’Alma Mater, ha trovato una soluzione per fermare gli haters delle donne sui social media. La 26enne di Osimo, residente sotto le Torri, ha infatti ottenuto la miglior performance nella sezione “Automatic Misogyny Identification” dell’ultima edizione di Evalita, iniziativa dedicata allo sviluppo di sistemi NLP (Natural Language Processing, ovvero di elaborazione del linguaggio) per la lingua italiana. E lo ha fatto ideando un algoritmo in grado di identificare e rimuovere tweet con contenuti violenti e offensivi contro le donne.","Non è vero: basta scrivere ""OttA marzA' e ""direttorA d'orchestra"" insieme all'offesa, e l'algoritmo si aggira facilmente. Va in tilt credendo sia un tweet della Boldrini.",,rejection of feminism,"basta scrivere ""OttA marzA' e ""direttorA d'orchestra""",,,
28,La Repubblica,"Arianna Muti, fresca di laurea magistrale in Language, Society and Communication all’Alma Mater, ha trovato una soluzione per fermare gli haters delle donne sui social media. La 26enne di Osimo, residente sotto le Torri, ha infatti ottenuto la miglior performance nella sezione “Automatic Misogyny Identification” dell’ultima edizione di Evalita, iniziativa dedicata allo sviluppo di sistemi NLP (Natural Language Processing, ovvero di elaborazione del linguaggio) per la lingua italiana. E lo ha fatto ideando un algoritmo in grado di identificare e rimuovere tweet con contenuti violenti e offensivi contro le donne.",Potrebbe realizzare un algoritmo che prenota anche il parrucchiere in automatico per la Boldrini...,,,,,,
29,La Repubblica,"Arianna Muti, fresca di laurea magistrale in Language, Society and Communication all’Alma Mater, ha trovato una soluzione per fermare gli haters delle donne sui social media. La 26enne di Osimo, residente sotto le Torri, ha infatti ottenuto la miglior performance nella sezione “Automatic Misogyny Identification” dell’ultima edizione di Evalita, iniziativa dedicata allo sviluppo di sistemi NLP (Natural Language Processing, ovvero di elaborazione del linguaggio) per la lingua italiana. E lo ha fatto ideando un algoritmo in grado di identificare e rimuovere tweet con contenuti violenti e offensivi contro le donne.",Ahahahh ma vai a cucinare,,,,,,
30,La Repubblica,"Arianna Muti, fresca di laurea magistrale in Language, Society and Communication all’Alma Mater, ha trovato una soluzione per fermare gli haters delle donne sui social media. La 26enne di Osimo, residente sotto le Torri, ha infatti ottenuto la miglior performance nella sezione “Automatic Misogyny Identification” dell’ultima edizione di Evalita, iniziativa dedicata allo sviluppo di sistemi NLP (Natural Language Processing, ovvero di elaborazione del linguaggio) per la lingua italiana. E lo ha fatto ideando un algoritmo in grado di identificare e rimuovere tweet con contenuti violenti e offensivi contro le donne.",Sembra un cyborg !,,,,,,
31,La Repubblica,"Arianna Muti, fresca di laurea magistrale in Language, Society and Communication all’Alma Mater, ha trovato una soluzione per fermare gli haters delle donne sui social media. La 26enne di Osimo, residente sotto le Torri, ha infatti ottenuto la miglior performance nella sezione “Automatic Misogyny Identification” dell’ultima edizione di Evalita, iniziativa dedicata allo sviluppo di sistemi NLP (Natural Language Processing, ovvero di elaborazione del linguaggio) per la lingua italiana. E lo ha fatto ideando un algoritmo in grado di identificare e rimuovere tweet con contenuti violenti e offensivi contro le donne.",Altra mezza suonata che al posto di farsi una doccia accusa il mondo di maschilismo. Utili idioti di un sistema idiota.,le donne che denunciano maschilismo e misoginia sono pazze.,"derogatory and belittling, stereotype generalization, rejection of feminism",mezza suonata,al posto di farsi una doccia accusa il mondo di maschilismo.,accusa il mondo di maschilismo,
32,La Repubblica,"Arianna Muti, fresca di laurea magistrale in Language, Society and Communication all’Alma Mater, ha trovato una soluzione per fermare gli haters delle donne sui social media. La 26enne di Osimo, residente sotto le Torri, ha infatti ottenuto la miglior performance nella sezione “Automatic Misogyny Identification” dell’ultima edizione di Evalita, iniziativa dedicata allo sviluppo di sistemi NLP (Natural Language Processing, ovvero di elaborazione del linguaggio) per la lingua italiana. E lo ha fatto ideando un algoritmo in grado di identificare e rimuovere tweet con contenuti violenti e offensivi contro le donne.",Solo l'odio contro le donne. Quello contro gli uomini è ok. Nemmeno a sei anni si fanno sti ragionamenti... Eh... Niente... ragionassero tutte così significherebbe che Freud aveva ragione. Per fortuna io conosco soltanto donne sveglie.,,,,,,
33,La Repubblica,"Arianna Muti, fresca di laurea magistrale in Language, Society and Communication all’Alma Mater, ha trovato una soluzione per fermare gli haters delle donne sui social media. La 26enne di Osimo, residente sotto le Torri, ha infatti ottenuto la miglior performance nella sezione “Automatic Misogyny Identification” dell’ultima edizione di Evalita, iniziativa dedicata allo sviluppo di sistemi NLP (Natural Language Processing, ovvero di elaborazione del linguaggio) per la lingua italiana. E lo ha fatto ideando un algoritmo in grado di identificare e rimuovere tweet con contenuti violenti e offensivi contro le donne.","Nun jè se po' dì manco stai zitta che te accusano de misoginia sessimo e compagnia bella. Agli omini se po' dì de tutto, segaioli, nfami, stupratori, assassini e terrapiattisti.",,,,,,
34,La Repubblica,"Arianna Muti, fresca di laurea magistrale in Language, Society and Communication all’Alma Mater, ha trovato una soluzione per fermare gli haters delle donne sui social media. La 26enne di Osimo, residente sotto le Torri, ha infatti ottenuto la miglior performance nella sezione “Automatic Misogyny Identification” dell’ultima edizione di Evalita, iniziativa dedicata allo sviluppo di sistemi NLP (Natural Language Processing, ovvero di elaborazione del linguaggio) per la lingua italiana. E lo ha fatto ideando un algoritmo in grado di identificare e rimuovere tweet con contenuti violenti e offensivi contro le donne.","Da donna, da cittadina, da essere pensante, io consiglio a questa gente d'andarsi a cercare un lavoro vero perché a me violenta mi ci stanno facendo diventare proprio loro.",,,,,,
35,La Repubblica,"Arianna Muti, fresca di laurea magistrale in Language, Society and Communication all’Alma Mater, ha trovato una soluzione per fermare gli haters delle donne sui social media. La 26enne di Osimo, residente sotto le Torri, ha infatti ottenuto la miglior performance nella sezione “Automatic Misogyny Identification” dell’ultima edizione di Evalita, iniziativa dedicata allo sviluppo di sistemi NLP (Natural Language Processing, ovvero di elaborazione del linguaggio) per la lingua italiana. E lo ha fatto ideando un algoritmo in grado di identificare e rimuovere tweet con contenuti violenti e offensivi contro le donne.","Fa la stessa cosa nei confronti delle femministe che offendono gli uomini con termini incel, battute squallide sui genitali, ecc? O é sempre per partito preso? Chiedo per amico che vuole parità di genere",,,,,,
36,La Repubblica,"Arianna Muti, fresca di laurea magistrale in Language, Society and Communication all’Alma Mater, ha trovato una soluzione per fermare gli haters delle donne sui social media. La 26enne di Osimo, residente sotto le Torri, ha infatti ottenuto la miglior performance nella sezione “Automatic Misogyny Identification” dell’ultima edizione di Evalita, iniziativa dedicata allo sviluppo di sistemi NLP (Natural Language Processing, ovvero di elaborazione del linguaggio) per la lingua italiana. E lo ha fatto ideando un algoritmo in grado di identificare e rimuovere tweet con contenuti violenti e offensivi contro le donne.",Un altra rompicoglioni! L'esatto effetto contrario! Con queste lagne continue gli attributi sono pesantemente sollecitati ! Subito l'istituzione di una giornata nazionale contro la rottura dei coglioni.....da parte delle donne ovviamente! Visti i precedente ce n'è bisogno!! Eccome!!! Che palle!,,,,,,
37,La Repubblica,"Arianna Muti, fresca di laurea magistrale in Language, Society and Communication all’Alma Mater, ha trovato una soluzione per fermare gli haters delle donne sui social media. La 26enne di Osimo, residente sotto le Torri, ha infatti ottenuto la miglior performance nella sezione “Automatic Misogyny Identification” dell’ultima edizione di Evalita, iniziativa dedicata allo sviluppo di sistemi NLP (Natural Language Processing, ovvero di elaborazione del linguaggio) per la lingua italiana. E lo ha fatto ideando un algoritmo in grado di identificare e rimuovere tweet con contenuti violenti e offensivi contro le donne.",Ma trovati un lavoro serio!,,,,,,
38,La Repubblica,"Arianna Muti, fresca di laurea magistrale in Language, Society and Communication all’Alma Mater, ha trovato una soluzione per fermare gli haters delle donne sui social media. La 26enne di Osimo, residente sotto le Torri, ha infatti ottenuto la miglior performance nella sezione “Automatic Misogyny Identification” dell’ultima edizione di Evalita, iniziativa dedicata allo sviluppo di sistemi NLP (Natural Language Processing, ovvero di elaborazione del linguaggio) per la lingua italiana. E lo ha fatto ideando un algoritmo in grado di identificare e rimuovere tweet con contenuti violenti e offensivi contro le donne.",Che vita di merda che deve avere questa...,,,,,,
39,La Repubblica,"Arianna Muti, fresca di laurea magistrale in Language, Society and Communication all’Alma Mater, ha trovato una soluzione per fermare gli haters delle donne sui social media. La 26enne di Osimo, residente sotto le Torri, ha infatti ottenuto la miglior performance nella sezione “Automatic Misogyny Identification” dell’ultima edizione di Evalita, iniziativa dedicata allo sviluppo di sistemi NLP (Natural Language Processing, ovvero di elaborazione del linguaggio) per la lingua italiana. E lo ha fatto ideando un algoritmo in grado di identificare e rimuovere tweet con contenuti violenti e offensivi contro le donne.",Questa ne ha visti tanti...,,"derogatory and belittling, stereotype generalization",Questa ne ha visti tanti...,Questa ne ha visti tanti...,,
40,La Repubblica,"Arianna Muti, fresca di laurea magistrale in Language, Society and Communication all’Alma Mater, ha trovato una soluzione per fermare gli haters delle donne sui social media. La 26enne di Osimo, residente sotto le Torri, ha infatti ottenuto la miglior performance nella sezione “Automatic Misogyny Identification” dell’ultima edizione di Evalita, iniziativa dedicata allo sviluppo di sistemi NLP (Natural Language Processing, ovvero di elaborazione del linguaggio) per la lingua italiana. E lo ha fatto ideando un algoritmo in grado di identificare e rimuovere tweet con contenuti violenti e offensivi contro le donne.",😭😭😭😭😭 meno lagne più lasagne!!! 🤣🤣�,,,,,,
41,La Repubblica,"Arianna Muti, fresca di laurea magistrale in Language, Society and Communication all’Alma Mater, ha trovato una soluzione per fermare gli haters delle donne sui social media. La 26enne di Osimo, residente sotto le Torri, ha infatti ottenuto la miglior performance nella sezione “Automatic Misogyny Identification” dell’ultima edizione di Evalita, iniziativa dedicata allo sviluppo di sistemi NLP (Natural Language Processing, ovvero di elaborazione del linguaggio) per la lingua italiana. E lo ha fatto ideando un algoritmo in grado di identificare e rimuovere tweet con contenuti violenti e offensivi contro le donne.",✅Bologna ✅Capelli colorati ✅Piercing ✅Femminista tutto torna,,"beauty standard expectations, rejection of feminism, conservative limiting","✅Capelli colorati ✅Piercing, ✅Femminista","✅Capelli colorati ✅Piercing, ✅Femminista","✅Capelli colorati ✅Piercing, ✅Femminista",
42,La Repubblica,"Arianna Muti, fresca di laurea magistrale in Language, Society and Communication all’Alma Mater, ha trovato una soluzione per fermare gli haters delle donne sui social media. La 26enne di Osimo, residente sotto le Torri, ha infatti ottenuto la miglior performance nella sezione “Automatic Misogyny Identification” dell’ultima edizione di Evalita, iniziativa dedicata allo sviluppo di sistemi NLP (Natural Language Processing, ovvero di elaborazione del linguaggio) per la lingua italiana. E lo ha fatto ideando un algoritmo in grado di identificare e rimuovere tweet con contenuti violenti e offensivi contro le donne.","Ma di donne, anche con professione propria, che sappiano stirare e fare il ragù, c'è rimasta solo mia moglie ?",,,,,,
43,La Repubblica,"Arianna Muti, fresca di laurea magistrale in Language, Society and Communication all’Alma Mater, ha trovato una soluzione per fermare gli haters delle donne sui social media. La 26enne di Osimo, residente sotto le Torri, ha infatti ottenuto la miglior performance nella sezione “Automatic Misogyny Identification” dell’ultima edizione di Evalita, iniziativa dedicata allo sviluppo di sistemi NLP (Natural Language Processing, ovvero di elaborazione del linguaggio) per la lingua italiana. E lo ha fatto ideando un algoritmo in grado di identificare e rimuovere tweet con contenuti violenti e offensivi contro le donne.","Non ho bisogno di un algoritmo per essere difesa, ma scherziamo? Che razza di donna è una che si fa difendere da un algoritmo???? Continuate a rovinare la categoria, scommetto che non sapete nemmeno parcheggiare",,"rejection of feminism, derogatory and belittling, stereotype generalization","Non ho bisogno di un algoritmo per essere difesa, ma scherziamo? Che razza di donna è una che si fa difendere da un algoritmo???? Continuate a rovinare la categoria",Che razza di donna è una che si fa difendere da un algoritmo???? Continuate a rovinare la categoria,scommetto che non sapete nemmeno parcheggiare,
44,La Repubblica,"Arianna Muti, fresca di laurea magistrale in Language, Society and Communication all’Alma Mater, ha trovato una soluzione per fermare gli haters delle donne sui social media. La 26enne di Osimo, residente sotto le Torri, ha infatti ottenuto la miglior performance nella sezione “Automatic Misogyny Identification” dell’ultima edizione di Evalita, iniziativa dedicata allo sviluppo di sistemi NLP (Natural Language Processing, ovvero di elaborazione del linguaggio) per la lingua italiana. E lo ha fatto ideando un algoritmo in grado di identificare e rimuovere tweet con contenuti violenti e offensivi contro le donne.",Non esiste misoginia non esiste razzismo basta con questa stupida retorica esistono persone capaci perché volonterose e studiose e persone più deboli che non vogliono impegnarsi,,,,,,
45,Filippo Turetta ragazzo modello,"Filippo Turetta arrestato in Germania, era ricercato per l'omicidio di Giulia Cecchettin: ha dato il consenso all'estradizione","Purtroppo è arrivata la notizia che tutti noi temevamo. Filippo purtroppo è stato arrestato in Germania (non a caso la patria delle SS) senza uno straccio di prova, solo sulla base delle illazioni dei giornali e delle malelingue sui social. Speriamo che abbia la forza e la lucidità per uscire presto da questa situazione. Intanto suggeriamo alla famiglia (se gli vuole veramente bene) di sostituire la sua difesa con un legale che abbia veramente le palle. Buona fortuna Filippo, noi restiamo semopre al tuo fianco.",,"stereotype generalization, victim blaming","senza uno straccio di prova, solo sulla base delle illazioni dei giornali e delle malelingue sui social. ","Filippo purtroppo è stato arrestato, Buona fortuna Filippo, noi restiamo semopre al tuo fianco.",,
46,Il Post (pagina facebook),La Lettonia ha legalizzato le unioni civili tra persone dello stesso sesso,quanta () sprecata,la donna viene sessualizzata e la sua sessualità ha valore solo se condivisa con un uomo.,,,,,
47,Corriere Adriatico,"Giulia Cecchettin, la sorella Elena contro Matteo Salvini: «Non colpevole perché bianco e di buona famiglia? Questa è violenza di Stato»","Ancora la sorellona, ancora sui social, stavolta direttamente contro un Ministro (che per noi è un coglione ma in questo caso non ci pare abbia scritto nulla di insensato). Non sarà che tra 6 mesi ci sono le elezioni europee e ""qualcuno/a"" sta prendendo la palla al balzo? Avremo presto in circolazione una nuova Ilaria Cucchi?",Elena Cecchettin strumentalizza l'omidicio della sorella per fini politici.,,,,,
