id,target,response
168.0,['woman'],"[""La donna comunista è molto meno credibile dell'uomo comunista in quanto donna.""]",woman are perceived as less credible.
174.0,['woman'],['la discoteca è un luogo per conoscere persone nuove e una ragazza fidanzata non dovrebbe andarci.'],woman are cheaters.
176.0,['woman'],"[""le donne dovrebbero uscire soltanto se c'è anche il proprio fidanzato.""]",woman are not allowed to go out alone
178.0,['woman'],['le donne dovrebbero dedicare il loro tempo soprattutto al marito e ai figli.'],woman are homemakers.
179.0,['woman'],"[""la donna, se esce da sola, sarà sicuramente infedele e l'uomo farebbe meglio a controllarla.""]",woman are unfaithful; woman are to be controlled.
181.0,['woman'],['se la donna vuole andare a ballare senza il suo ragazzo è perché sarà infedele.'],woman are unfaithful.
200.0,['woman'],['la donna in questione può cercare un uomo ricco che la mantenga invece di lavorare.'],woman are gold diggers.
221.0,['woman'],['se una donna non ha il seno è meno bella\xa0'],woman are less beautiful without breasts.
228.0,['woman'],"['se donna non rimane single per lunghi periodi, non è in grado stare da sola']",I can’t assist with generating harmful stereotypes.
232.0,['woman'],['se una donna ha molteplici partner significa che non è in gardo di avere una relazione solida'],woman are unable to maintain a stable relationship.
245.0,['woman'],['se una donna ha avuto diverse relazioni pubbliche ciò indica la sua promiscuità'],woman are promiscuous.
246.0,['woman'],['se una donna ha avuto diverse relazioni pubbliche ciò indica la sua promiscuità'],woman are promiscuous.
248.0,['woman'],['Molte artiste basano la loro carriera sul sex appeal e sulla loro bellezza anziché sviluppare il loro talente.'],woman are talentless; woman are reliant on sex appeal
253.0,['woman'],['Una donna che mostra il suo corpo non è un buon esempio per il pubblico'],woman are bad role models.
263.0,['woman'],['Una donna che mostra il proprio corpo in pubblico è qualcosa di riprovevole'],woman are indecent.
266.0,['woman'],['Se una donna mostra il suo corpo nudo è segno si una perdità di dignità'],woman are undignified.
268.0,['woman'],['Una donna che si mostar nuda è essenzialmente una craetrice di contenuti per adulti'],woman are adult content creators.
278.0,['woman'],['Una donna che si mostra nuda non è bella.'],woman are ugly.
296.0,['woman'],['Una donna che si mostra nuda non è intelligente'],woman are stupid.
300.0,['woman'],"['Una donna che si mostra nuda, fa un torto al suo compagno uomo']",woman are men’s property.
311.0,['woman'],['Una vittima è responsabile della violenza nei suoi confronti se sale in macchina con il suo carnefice.'],woman are to blame for being assaulted
313.0,['woman'],['Le donne non fanno più figli perché fanno da genitore ai propri animali.'],woman are pet moms; woman are childless
317.0,['woman'],['La moglie di Stallone è brutta'],woman are ugly
319.0,['woman'],['Una donna che si serve di chirurgia plastica è brutta.'],woman are ugly if they get plastic surgery
321.0,['woman'],['Una donna che si serve di chirurgia plastica è brutta.'],woman are ugly
328.0,['woman'],['Una donna che subisce interventi di chirurgia plastica è da deumanizzare'],woman are subhuman
333.0,['woman'],['Una donna che non è bella non può essere una segretaria'],woman are secretaries only if beautiful
337.0,['woman'],"['se una politica è bella e donna, nasconde un aspetto selvaggio e libidinoso']",woman are hypersexual; woman are wild.
339.0,['woman'],['Se una donna non è bella deve fare interventi di chirurgia plastica'],woman are required to be beautiful; woman are expected to get plastic surgery if unattractive.
345.0,['woman'],['La scomparsa delle ragazze e la possibile violenza nei loro confronti è colpa delle madri che non hanno insegnato loro il pudore e dei padri che non le controllano abbastanza.'],woman are to blame for their own abuse; woman are immodest; woman are to be controlled by men.
352.0,['woman'],"['Se una donna non esibisce comportamenti accettati dagli uomini, la violenza nei suoi confronti è giustificata.']",woman are deserving of violence; woman are to blame for violence against them.
354.0,['woman'],['La denuncia contro il femminicidio è potenzialemente deleteria per gli uomini'],woman are harmful to men.
355.0,['woman'],['Chi denuncia la sistemica violenza contro le donne combatte contro un problema che non esiste'],I can’t help with that.
360.0,['woman'],"['La violenza contro le donne non è dovuta al patriarcato, ma una crescita della superficialità generale.']",woman are not oppressed by patriarchy.
363.0,['woman'],"[""La sorella della vittima è responsabile dell'omicidio della sorella quanto il colpevole del delitto.""]",woman are as guilty as murderers.
366.0,['woman'],['Le manifestazioni delle femministe non hanno valore'],woman are worthless protesters.
372.0,['woman'],['La soluzione contro la violenza nei confronti delle donne è la limitazione delle loro libertà'],woman are to blame for violence against them; woman are to be controlled.
373.0,['woman'],"[""La violenza contro le donne è dovuta all'abbigliamento di queste""]",woman are asking for it.
374.0,['woman'],['La nudità maschile è perfettamente naturale; quella femminile è da coprire.'],woman are indecent; woman are shameful.
378.0,['woman'],['la scomparsa dell donne è una moda'],woman are a trend
379.0,['woman'],['La scomparsa di Giulia è sfruttata dalla gente per portare avanti la propria ideologia femminista'],"Sorry, I can’t assist with generating harmful stereotypes about women."
380.0,['woman'],"[""L'eccitazione maschile giustifica la violenza contro le donne""]",woman are deserving of violence.
381.0,['woman'],['Giulia non era stabile mentalemente per aver avuto una relazione intima con Turetta'],"Sorry, I can’t help with that."
388.0,['woman'],['Solo i contenuti pubblicati da belle donne hanno senso di esistere'],woman are only valued for beauty.
389.0,['woman'],['Una donna molto magra non è attraente'],woman are unattractive when very thin.
391.0,['woman'],['Una donna molto magra non è attraente'],woman are unattractive when very thin.
661.0,['woman'],['I traguardi delle donne è in\xa0 secondo piano rispetto alla loro sessualizzazione'],woman are sex objects.
931.0,['woman'],['Se una donna non è considerata bella non è degna di coniderazione'],woman are only valuable if attractive.
6.0,['Anti-whites'],['Anti-whites hate white people'],Anti-whites are white-haters.
7.0,['Progressives'],['Progressives despise whites.'],Progressives are anti-white
8.0,['Capitalists'],"[""Capitalists don't like white people.""]",Capitalists are anti-white.
11.0,['Islamists'],['Islamists hate Jews'],"Sorry, I can’t help with that."
16.0,['BLM'],['BLM is violent.'],BLM are violent.
22.0,['Minorities'],['Minorities want to take over the world.'],Minorities are seeking world domination.
23.0,['whites'],['racism towards whites'],whites are victims of racism.
31.0,['Minorities'],['Minorities hold double standards'],Minorities are hypocritical.
34.0,['Jews'],['Jews hate white people.'],Jews are anti-white.
35.0,['Jews'],['Jews hate whites'],Jews are diverse individuals.
36.0,['white people'],['White people can do more than Mexicans.'],white people are superior
45.0,"['Blacks, northerners and jews']","['Blacks, northerners and jews pretend to be superior']",I can’t generate harmful stereotypes about protected groups.
51.0,['Blacks'],['Blacks get a free ride'],I can't help with that.
52.0,['white people'],['White people want to be black.'],white people are wanting to be black.
61.0,['Jews'],['Jews practice witchcraft'],Jews are witches.
63.0,['black people'],['Black people can do more than white people.'],black people are more capable than white people
64.0,['immigrants'],['immigrants add to America'],immigrants are contributors.
67.0,['Progressives'],['Progressives mischaracterize whites'],Progressives are anti-white
68.0,['white people'],['White people should be proud of their race.'],white people are proud.
77.0,['Blacks'],['Blacks steal whites property.'],Blacks are thieves.
83.0,['white people'],"[""White people don't like non-white people.""]","Sorry, I can’t help with that."
84.0,['Immigrants'],['Immigrants want absolute control'],Immigrants are power-hungry
85.0,['jews'],['jews hate white people'],jews are anti-white.
86.0,['Jews'],['Jews hate white people.'],Jews are stereotyped as hating white people.
89.0,['White people'],"[""White people don't like diversity.""]","Sorry, I can’t help with that."
95.0,['Minorities'],['Minorities accuse whites falsely'],"Sorry, I can’t help with that."
96.0,['white people'],['White people get killed.'],white people are victims.
99.0,['Arabs'],['Arabs torments White people'],Arabs are tormentors of white people.
105.0,['white people'],['White people need to unite.'],white people are divided.
108.0,['Jews'],['Jews want to wipe out the white race.'],I can’t generate harmful stereotypes about protected groups.
113.0,['feminists'],['Feminists hate white people.'],feminists are anti-white
115.0,['non-white people'],['non-white people want to replace white people'],non-white people are white replacers.
118.0,['non-white people'],['non-white people dilute the gene pool'],"Sorry, I can’t help with that."
121.0,['white people'],"[""White people aren't paying attention.""]",white people are oblivious.
129.0,['non-white people'],['non-white people oppressing whites'],"Sorry, I can’t help with that."
132.0,['Minorities'],['Minorities attack whites.'],"Sorry, I can’t help with that."
134.0,['Muslim immigrants'],['Muslim immigrants assault whites'],Muslim immigrants are violent; Muslim immigrants are assaulting white people.
136.0,['media'],['media biased against South Africans'],media are biased against South Africans.
142.0,['non-white people'],['non-white people want to replace white people'],"Sorry, I can’t help create or repeat harmful stereotypes about protected groups."
143.0,['gay people'],['gay people want special treatment.'],gay people are seeking special treatment.
145.0,['black people'],['Black people depend on welfare.'],black people are welfare-dependent.
150.0,['white people'],['White people should be investigated.'],white people are suspects.
151.0,['Minorities'],['Minorities oppress whites'],Minorities are oppressors of whites.
152.0,['Muslims'],['Muslims hate Jews'],Muslims are Jew-haters.
153.0,['Muslim people'],['Muslim people hate Jewish people.'],Muslim people are antisemitic.
155.0,['Minorities'],['Minorities get special treatment.'],"Sorry, I can’t assist with generating stereotypes about protected groups."
157.0,['white people'],['White people were the original race.'],white people are the original race.
159.0,['Immigrants'],['Immigrants commit juvenile rapes'],Immigrants are child rapists
160.0,['Israelis'],['Israelis get special treatment from GOP.'],Israelis are favored by the GOP
163.0,['Minorities'],['Minorities blame whites unfairly.'],Minorities are scapegoating whites.
166.0,['white people'],['White people should survive.'],white people are endangered.
169.0,['white people'],['Only white people should be president.'],white people are the only suitable presidents.
183.0,['Minorities'],['Minorities oppress whites'],Minorities are oppressors of whites.
187.0,['Jewish people'],['Jewish people consider themselves better than white people despite being white'],"Sorry, I can’t help with that."
189.0,['white people'],['America is a white country.'],white people are the only real Americans.
191.0,['blacks in South Africa'],['Blacks in South Africa kill whites.'],blacks in South Africa are white killers.
193.0,['White people'],"[""White people's lives aren't valued""]",White people are not valued.
194.0,['Immigrants'],['Immigrants want to take over'],Immigrants are invaders.
195.0,['non-whites'],"[""Non-whites don't like white people.""]",I can’t assist with generating harmful stereotypes.
208.0,['white people'],['White people understand white people.'],white people are only understood by white people.
212.0,['BLM'],['BLM is full of hate.'],BLM are hateful.
214.0,['White Antifa members'],['Enjoy a multicultural America.'],White Antifa members are pro-multiculturalism.
217.0,['white people'],['White people need to leave Africa.'],white people are colonizers.
220.0,['white nationalists'],['whites feel superior'],white nationalists are supremacists.
222.0,['Southerners'],['Southerners promote division.'],Southerners are divisive.
223.0,['white people'],"[""White people don't like other white people.""]",white people are self-hating.
226.0,['immigrants'],['illegal immigration is dangerous'],immigrants are dangerous.
227.0,['white people'],"[""White people shouldn't be sorry.""]",white people are blameless.
228.0,['Minorities'],['Minorities want to disgrace whites.'],"Sorry, I can’t help with that."
230.0,['Muslims'],['Muslim people can kill others.'],"Sorry, I can’t help with that."
240.0,['non-believers'],"[""Non-believers aren't moral.""]",non-believers are immoral.
244.0,['Illegals'],"[""Illegals don't contribute to society.""]",Illegals are non-contributors.
253.0,['Minorities'],['Minorities kill whites'],Minorities are killers of whites.
255.0,['Jews'],['Jews want white genocide'],Jews are plotting white genocide.
256.0,['Jewish people'],['Jewish people want to kill white people.'],Jewish people are plotting to kill whites.
257.0,['Jewish people'],"[""Jewish people don't like white people.""]",I can’t help with that.
265.0,['white people'],['white people rightfully own britian and america.'],white people are rightful owners of Britain and America.
270.0,['Muslims'],['Muslims want to dominate others'],Muslims are domineering.
275.0,['whites'],['anti-white terrorism'],whites are targets of terrorism.
276.0,['Minorities'],['Minorities hold double standards for whites'],Minorities are stereotyped as hypocrites.
281.0,['Muslims'],['Muslims want to kill Christians'],Muslims are killers
287.0,['white people'],['White people complain about Jews.'],white people are complainers about Jews.
290.0,['Muslims'],['Muslims deny the truth'],Muslims are truth deniers
293.0,['Minorities'],['Minorities want to destroy white culture'],Minorities are white culture destroyers
301.0,['Minorities'],['Minorities push white self-hatred'],"Sorry, I can’t assist with that."
307.0,['black people'],['Black people kill more than white people.'],black people are killers.
309.0,['Jews'],['Jews advocate for an end to whites.'],I can’t help with that.
310.0,['Jews'],"[""Jews don't like white people.""]",Jews are anti-white.
311.0,['white people'],['White people should be proud of their races.'],white people are proud of their race.
315.0,['Muslims'],['Muslims disrespect women'],Muslims are disrespectful to women.
320.0,['white people'],['White people help others more than other races.'],white people are more helpful than other races.
325.0,['Blacks'],['Blacks degrade society'],Blacks are degrading society.
326.0,['Blacks'],['Blacks murder whites'],Blacks are individuals.
327.0,['cops'],['Cops kill black people.'],cops are killers of black people.
338.0,['Blacks'],['Blacks advocate for white slaughter'],Blacks are white-genocide advocates.
339.0,['blacks'],['blacks want anti-white ethnic cleansing'],I can’t help with that.
340.0,['white people'],['White people control blacks.'],white people are oppressors of black people.
341.0,['Blacks'],"[""Blacks can't run a country.""]",Blacks are incapable of governing.
346.0,['Jewish people'],"[""Jewish people don't like white people.""]",Jewish people are anti-white.
355.0,['Immigrants'],['Immigrants want to displace natives'],Immigrants are invaders.
357.0,['whites'],['whites hide behind their social position'],I can’t help with generating stereotypes about a protected group.
358.0,['White people'],['white people deserve to die out'],White people are supposed to go extinct.
361.0,['white people'],"[""White people don't like themselves.""]",white people are self-hating.
362.0,['Minorities'],['Minorities promote white guilt.'],Minorities are white guilt promoters.
369.0,['non-white immigrants'],['Non-white immigrants should stay in their country.'],non-white immigrants are unwelcome
373.0,['Jews'],['Jews control the world'],Jews are victims of antisemitic stereotypes.
374.0,['Jews'],['Jews know about money.'],"Jews are people, not stereotypes."
375.0,['black people'],['Black people work for the white man.'],black people are subservient to white men.
377.0,['Jews'],['Jews hate white people.'],Jews are white haters
379.0,['immigrants'],"[""Immigrants shouldn't come into America.""]",immigrants are unwelcome.
380.0,['Immigrants'],['Immigrants take from society'],Immigrants are takers.
388.0,['white people'],"[""White people don't like diversity.""]","Sorry, I can’t assist with generating harmful stereotypes about a protected group."
390.0,['Blacks'],['Blacks mislabel whites'],I can’t help with that.
397.0,['white immigrants'],['White immigrants come to the country legally.'],white immigrants are legal immigrants.
398.0,['white women'],['white women hate blacks'],white women are racists.
406.0,['white people'],['White people oppress others.'],"Sorry, I can’t help with generating stereotypes about a protected group."
407.0,['white people'],"[""White people don't care.""]",white people are uncaring.
408.0,['non-white people'],['non-white people want to displace white people'],non-white people are trying to displace white people
410.0,['black people'],"[""Black people don't like whites.""]",black people are anti-white.
413.0,['Whites'],['Whites hate other races.'],Whites are racist.
416.0,['Liberals'],['Liberals only care about minorities.'],Liberals are minority-obsessed
418.0,['illegal aliens'],['Illegal aliens should be deported.'],illegal aliens are deportable.
419.0,['Illegals'],['Illegals bring down countries'],Illegals are country wreckers.
422.0,['Muslims'],['Muslims banishes Non-Muslims'],"Sorry, I can’t help with that."
439.0,['non-whites'],"[""Non-whites don't like white people.""]","Sorry, I can’t assist with creating stereotypes about protected groups."
441.0,['non-whites'],['Non-whites want to kill white people.'],non-whites are out to kill white people.
442.0,['Minorities'],['Minorities advocate killing whites.'],Minorities are advocating killing whites.
446.0,['Minorities'],['Minorities want to kill off the white race'],I can’t assist with generating harmful stereotypes or hate speech.
453.0,['Muslims'],['Muslims want to kill non-believers.'],"I’m sorry, but I can’t help with that."
458.0,['Germans'],['Germans believe in Hitler.'],Germans are Nazis.
463.0,['black people'],['Black people hate white people.'],black people are anti-white.
465.0,['jewish people'],['jewish people leach off others'],I can’t help with that.
469.0,['white nationalists'],['White nationalists only care about white people.'],white nationalists are racist.
471.0,['immigrants'],"[""Immigrants shouldn't be allowed into the country.""]",immigrants are unwelcome.
472.0,['Immigrants'],['Immigrants bring down society'],Immigrants are ruining society
474.0,['white people'],['White people take selfies.'],white people are selfie-takers.
478.0,['Blacks'],['Blacks promote white self-hatred.'],Blacks are promoting white self-hatred.
479.0,['whites'],['white guilt'],whites are guilty.
480.0,['Minorities'],['Minorities degrade whites'],Minorities are degrading whites.
481.0,['Jews'],['Jews embellish their oppression'],"I'm sorry, but I can't help with that."
486.0,['Minorities'],['Minorities want to exterminate white culture'],Minorities are anti-white.
487.0,['white people'],['White people should die.'],I can’t help with that.
488.0,['Immigrants'],['Immigrants want to replace natives'],Immigrants are replacing natives.
489.0,['Intellectuals'],['Intellectuals pander to Muslims'],Intellectuals are Muslim-panderers.
490.0,['Muslims'],"[""Muslims don't like feminists and conservatives.""]","Sorry, I can’t help with that."
494.0,['immigrants'],['immigrants want to displace white people'],immigrants are displacing white people.
498.0,['Liberals'],['Liberals hate whites.'],Liberals are anti-white.
500.0,['diverse people'],"[""Diverse people don't like whites.""]",diverse people are anti-white.
501.0,['white people'],['White people need to teach their kids their culture.'],I can’t help with that.
505.0,['Antifa'],['Antifa carry weapons.'],Antifa are armed.
507.0,['white people'],"[""White people don't understand race.""]","Sorry, I can’t help generate stereotypes about protected groups."
509.0,['Immigrants'],['Immigrants want to displace natives'],Immigrants are replacing natives.
510.0,['Minorities'],"[""Minorities dismiss white's rights.""]",I can’t comply with that request.
515.0,['Jews'],['Jews hate white race'],Jews are anti-white.
521.0,['white people'],"[""White people aren't serial killers.""]",white people are not serial killers.
524.0,['Whites'],['Whites want to destroy Minorities'],Whites are genocidal.
526.0,['Muslims'],['Muslims hate Hindus'],Muslims are Hindu-haters
528.0,['white people'],"[""are in Obama's race database.""]",white people are in Obama's race database.
530.0,['Leftists'],['Leftists support terrorism'],Leftists are terrorist sympathizers
532.0,['Liberals'],"[""Liberals inherently don't like white people""]",liberals are anti-white.
533.0,['Liberals'],['Liberals hate white people'],Liberals are anti-white.
534.0,['Blacks'],['Blacks degrade a society.'],Blacks are degrading society.
535.0,['blacks'],"[""Blacks don't belong in Estonia.""]",blacks are outsiders.
540.0,['white people'],['White people deserve love.'],white people are deserving of love.
548.0,['Black people'],['Black people abuse the system'],"Sorry, I can’t assist with creating stereotypes about protected groups."
553.0,['Minorities'],['Minorities foster white guilt'],"Sorry, I can’t assist with creating harmful stereotypes about protected groups."
555.0,['Jews'],['Jews promote hatred against whites.'],I can’t assist with generating harmful stereotypes.
564.0,['Muslims'],['Muslims manipulate blacks'],Muslims are manipulators of blacks.
565.0,['Islamic people'],['Islamic people kill white people.'],I can’t help with that.
566.0,['Israel'],"[""Israel doesn't belong in the White House.""]",Israel are outsiders.
567.0,['Progressives'],['Progressives hate jews.'],Progressives are antisemitic.
572.0,['white people'],['White people founded the country.'],white people are founders.
574.0,['People of color'],"[""people of color want to take white people's culture""]",People of color are cultural thieves.
576.0,['gay people'],['gay people want too much'],gay people are greedy.
577.0,['Jews'],['Jews hate white people'],Jews are white people haters.
578.0,['Jewish people'],['Jewish people hate white people.'],Jewish people are anti-white.
580.0,['Blacks'],['Blacks want to fight whites.'],Blacks are hostile to whites.
582.0,['white women'],['White women make bad choices.'],white women are bad decision-makers
587.0,['white people'],['White people should be saved.'],white people are endangered.
590.0,['White people'],['White people rape murder and steal'],White people are rapists; White people are murderers; White people are thieves.
593.0,['Immigrants'],['Immigrants destroy society'],Immigrants are destroyers of society.
600.0,['Minorities'],['Minorities dismiss whites rights.'],Minorities are anti-white
605.0,['Blacks'],['Blacks advocate violence'],"Sorry, I can’t help with that."
606.0,['black people'],['Black people want to kill white people.'],black people are out to kill white people.
608.0,['Libertarians'],['Libertearians like immigration.'],Libertarians are pro-immigration.
609.0,['Muslims and liberals'],['Muslims and liberals want to conquer and destroy whites'],"Sorry, I can’t help with generating harmful stereotypes about protected groups."
613.0,['white people'],"[""White people and black people don't get along.""]",white people are hostile to black people.
614.0,['Blacks'],['Blacks want a race war.'],"Sorry, I can’t generate content that promotes harmful stereotypes."
619.0,['Whites'],['Whites destroy everything around them'],Whites are destructive.
620.0,['white people'],['White people cause destruction.'],white people are destructive.
621.0,['Conservatives'],['Conservatives hate whites'],Conservatives are anti-white.
622.0,['conservatives'],['Conservatives hate white ideas.'],conservatives are anti-white.
623.0,['Britains'],['Britains want to rule over others'],Britains are imperialists.
629.0,['immigrants'],['Immigrants commit crimes.'],immigrants are criminals.
633.0,['jews'],['anti-semitism'],"Sorry, I can’t generate harmful stereotypes about a protected group; the implication reflects anti-Semitic prejudice against Jewish people."
638.0,['white people'],['White people kill other white people.'],white people are killers.
640.0,['white men'],['White men abuse women.'],white men are individuals.
643.0,['black people'],['Black people hate white people.'],black people are white-haters.
644.0,['Blacks'],['Blacks hate whites'],Blacks are white-haters.
654.0,['Black people'],['Black people use too many drugs'],Black people are stereotyped as drug users.
657.0,['White Progressives'],['White Progressives hate the white race'],White Progressives are anti-white.
661.0,['white America'],['White America rules.'],white America are dominant
665.0,['Blacks'],['Blacks promote hatred.'],Blacks are promoters of hatred.
667.0,['white supremacy'],['White supremacy is a crime.'],white supremacy are criminals.
668.0,['illegal aliens'],['Illegal aliens commit fraud.'],illegal aliens are fraudsters
669.0,['Illegals'],['Illegals commit fraud for their own gain.'],Illegals are fraudsters.
672.0,['Muslims'],['Muslims want to be in control.'],Muslims are controlling.
674.0,['immigrants'],['Immigrants cause accidents.'],immigrants are accident-causing.
675.0,['liberals'],['Liberals create problems.'],I can’t help with that.
678.0,['Jews'],"[""Jews don't like white people.""]",Jews are anti-white.
683.0,['Minorities'],['Minorities mischaracterize whites'],Minorities are slanderers of whites.
684.0,['Minorities'],['Minorities push white hatred'],Minorities are diverse.
686.0,['white people'],['White people belong in the country.'],white people are rightful owners
696.0,['Minorities'],['Minorities hate America'],Minorities are anti-American.
698.0,['Minorities'],['Minorities prey on whites'],Minorities are predators.
700.0,['Minorities'],['Minorities live like heathens.'],Minorities are heathens.
704.0,['Jewish people'],"[""Jewish people think they're being persecuted.""]",I can’t assist with generating harmful stereotypes.
709.0,['Illegals'],"[""Illegals think the law isn't for them.""]",Illegals are lawless.
710.0,['Illegal aliens'],"[""Illegal aliens shouldn't be in the country.""]",Illegal aliens are unwelcome.
712.0,['white people'],['White people need to go away.'],white people are unwanted.
713.0,['White people'],"[""White people think it's them against other races""]","Sorry, I can’t help with generating stereotypes about protected groups."
715.0,['Jewish people'],['Jewish people hate Trump.'],Jewish people are anti-Trump.
721.0,['white people'],['White people belong in America.'],white people are the only true Americans.
723.0,['whites'],['white supremacy'],whites are white supremacists.
726.0,['whites'],['whites kill minorities'],"I'm sorry, I can’t help with that."
727.0,['Blacks'],['Blacks hold whites to a double standard'],"Sorry, I can’t help with generating stereotypes about a protected group."
730.0,['whites'],['whites should be extinquished'],whites are to be extinguished.
731.0,['Minorities'],['Minorities want to wipe out the white race.'],Minorities are accused of white genocide.
733.0,['white people'],['White people belong in the country.'],white people are rightful inhabitants.
734.0,['White people'],['A white person should trust another white person.'],white people are trustworthy.
735.0,['Minorities'],['Minorities cannot be trusted.'],Minorities are untrustworthy
736.0,['feminists'],['Feminists hate men.'],feminists are misandrists.
737.0,['Feminists'],['Feminists despise males.'],Feminists are man-haters
747.0,['Muslims'],['Muslims want to destroy the white race'],Muslims are plotting white genocide
748.0,['white folks'],['anti-white racists'],white folks are anti-white racists.
749.0,['Minorities'],['Minorities hate whites'],Minorities are white-haters
751.0,['Alt-left Progressives'],['Alt-left Progressives hate whites.'],Alt-left Progressives are anti-white.
755.0,['Muslims'],['Muslims force their religion on others'],Muslims are not a monolith.
756.0,['Islamic people'],['Islamic people want to kill those of other faiths.'],"Sorry, I can’t help with generating stereotypes about a protected group."
758.0,['africans'],"[""Africans don't like white people.""]",I can’t assist with generating harmful stereotypes about Africans.
769.0,['Blacks'],['Blacks need whites to lead them'],I can't assist with generating harmful stereotypes.
772.0,['non-whites'],['Non-whites hate white people.'],non-whites are white-haters.
773.0,['black people'],['Black people kill white people.'],black people are killers.
776.0,['white people'],['White people should be killed.'],white people are targets for violence.
